Date,Description,Amount,Type,Balance
2024-01-02,AMAZON MARKETPLACE,-45.99,Debit,4954.01
2024-01-03,STARBUCKS COFFEE,-6.75,Debit,4947.26
2024-01-04,NETFLIX SUBSCRIPTION,-15.99,Debit,4931.27
2024-01-05,WALMART GROCERY,-123.45,Debit,4807.82
2024-01-07,UBER RIDE,-18.50,Debit,4789.32
2024-01-08,MCDONALDS,-12.30,Debit,4777.02
2024-01-09,ELECTRICITY BILL,-98.00,Debit,4679.02
2024-01-10,SPOTIFY PREMIUM,-9.99,Debit,4669.03
2024-01-12,TARGET STORE,-67.80,Debit,4601.23
2024-01-14,SHELL GAS STATION,-55.00,Debit,4546.23
2024-01-15,SALARY CREDIT,5000.00,Credit,9546.23
2024-01-16,CHIPOTLE,-14.25,Debit,9531.98
2024-01-17,INTERNET BILL,-59.99,Debit,9471.99
2024-01-18,WHOLE FOODS MARKET,-89.30,Debit,9382.69
2024-01-20,AIRBNB BOOKING,-250.00,Debit,9132.69
2024-01-22,AMAZON PRIME,-14.99,Debit,9117.70
2024-01-23,CVS PHARMACY,-28.50,Debit,9089.20
2024-01-24,PIZZA HUT,-22.00,Debit,9067.20
2024-01-25,APPLE STORE,-199.00,Debit,8868.20
2024-01-26,LYFT RIDE,-12.75,Debit,8855.45
2024-01-28,WATER BILL,-45.00,Debit,8810.45
2024-01-29,COSTCO WHOLESALE,-178.90,Debit,8631.55
2024-01-30,GOOGLE PLAY,-4.99,Debit,8626.56
2024-01-31,RESTAURANT FINE DINING,-87.50,Debit,8539.06
2024-02-01,RENT PAYMENT,-1500.00,Debit,7039.06
2024-02-02,STARBUCKS COFFEE,-7.25,Debit,7031.81
2024-02-03,AMAZON MARKETPLACE,-34.99,Debit,6996.82
2024-02-05,UBER EATS,-28.50,Debit,6968.32
2024-02-06,NETFLIX SUBSCRIPTION,-15.99,Debit,6952.33
2024-02-07,WALMART GROCERY,-145.20,Debit,6807.13
2024-02-08,GYM MEMBERSHIP,-40.00,Debit,6767.13
2024-02-09,ELECTRICITY BILL,-112.00,Debit,6655.13
2024-02-10,DELTA AIRLINES,-320.00,Debit,6335.13
2024-02-12,BEST BUY,-249.99,Debit,6085.14
2024-02-14,VALENTINES DINNER,-165.00,Debit,5920.14
2024-02-15,SALARY CREDIT,5000.00,Credit,10920.14
2024-02-16,SPOTIFY PREMIUM,-9.99,Debit,10910.15
2024-02-17,INTERNET BILL,-59.99,Debit,10850.16
2024-02-18,WHOLE FOODS MARKET,-95.40,Debit,10754.76
2024-02-20,SHELL GAS STATION,-60.00,Debit,10694.76
2024-02-21,PHARMACY CVS,-35.00,Debit,10659.76
2024-02-22,CHIPOTLE,-16.50,Debit,10643.26
2024-02-24,HOTEL MARRIOTT,-280.00,Debit,10363.26
2024-02-25,APPLE ITUNES,-2.99,Debit,10360.27
2024-02-26,TARGET STORE,-89.50,Debit,10270.77
2024-02-28,WATER BILL,-45.00,Debit,10225.77
2024-03-01,RENT PAYMENT,-1500.00,Debit,8725.77
2024-03-02,STARBUCKS COFFEE,-6.50,Debit,8719.27
2024-03-03,AMAZON MARKETPLACE,-78.99,Debit,8640.28
2024-03-05,MCDONALDS,-10.75,Debit,8629.53
2024-03-06,NETFLIX SUBSCRIPTION,-15.99,Debit,8613.54
2024-03-07,TRADER JOES,-112.30,Debit,8501.24
2024-03-08,UBER RIDE,-22.00,Debit,8479.24
2024-03-09,ELECTRICITY BILL,-95.00,Debit,8384.24
2024-03-10,SPOTIFY PREMIUM,-9.99,Debit,8374.25
2024-03-12,NORDSTROM,-345.00,Debit,8029.25
2024-03-14,SHELL GAS STATION,-52.00,Debit,7977.25
2024-03-15,SALARY CREDIT,5000.00,Credit,12977.25
2024-03-16,INTERNET BILL,-59.99,Debit,12917.26
2024-03-17,CHIPOTLE,-15.75,Debit,12901.51
2024-03-18,WHOLE FOODS MARKET,-98.60,Debit,12802.91
2024-03-20,FLIGHT BOOKING,-450.00,Debit,12352.91
2024-03-22,GYM MEMBERSHIP,-40.00,Debit,12312.91
2024-03-24,APPLE STORE,-99.00,Debit,12213.91
2024-03-25,RESTAURANT SUSHI,-72.00,Debit,12141.91
2024-03-26,CVS PHARMACY,-18.50,Debit,12123.41
2024-03-28,WATER BILL,-45.00,Debit,12078.41
2024-03-29,COSTCO WHOLESALE,-210.50,Debit,11867.91
2024-03-30,AMAZON PRIME,-14.99,Debit,11852.92
2024-04-01,RENT PAYMENT,-1500.00,Debit,10352.92
2024-04-02,STARBUCKS COFFEE,-7.00,Debit,10345.92
2024-04-03,AMAZON MARKETPLACE,-56.40,Debit,10289.52
2024-04-05,NETFLIX SUBSCRIPTION,-15.99,Debit,10273.53
2024-04-06,WALMART GROCERY,-134.80,Debit,10138.73
2024-04-07,LYFT RIDE,-15.50,Debit,10123.23
2024-04-09,ELECTRICITY BILL,-88.00,Debit,10035.23
2024-04-10,SPOTIFY PREMIUM,-9.99,Debit,10025.24
2024-04-12,H&M CLOTHING,-125.00,Debit,9900.24
2024-04-14,SHELL GAS STATION,-58.00,Debit,9842.24
2024-04-15,SALARY CREDIT,5000.00,Credit,14842.24
2024-04-16,INTERNET BILL,-59.99,Debit,14782.25
2024-04-17,MCDONALDS,-11.25,Debit,14771.00
2024-04-18,WHOLE FOODS MARKET,-102.30,Debit,14668.70
2024-04-20,UBER EATS,-32.50,Debit,14636.20
